object_name,label_family,source_support_status,candidate_target_label_available,nearest_available_source_fields,direct_or_proxy,promotion_ready,promotion_blocker
UGC07125,A/R mismatch,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.
UGC07125,H I asymmetry,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.
UGC07125,SFE/depletion,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement."
UGC07125,Vrot/sigma,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.
UGC07125,burstiness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.
UGC07125,centroid offset,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct centroid offset map-level measurement.
UGC07125,lopsidedness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct lopsidedness map-level measurement.
UGC07125,warp / PA twist,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.
DDO064,A/R mismatch,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.
DDO064,H I asymmetry,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.
DDO064,SFE/depletion,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement."
DDO064,Vrot/sigma,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.
DDO064,burstiness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.
DDO064,centroid offset,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct centroid offset map-level measurement.
DDO064,lopsidedness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct lopsidedness map-level measurement.
DDO064,warp / PA twist,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.
DDO161,A/R mismatch,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.
DDO161,H I asymmetry,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.
DDO161,SFE/depletion,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement."
DDO161,Vrot/sigma,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.
DDO161,burstiness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.
DDO161,centroid offset,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct centroid offset map-level measurement.
DDO161,lopsidedness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct lopsidedness map-level measurement.
DDO161,warp / PA twist,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.
F563-1,A/R mismatch,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.
F563-1,H I asymmetry,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.
F563-1,SFE/depletion,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement."
F563-1,Vrot/sigma,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.
F563-1,burstiness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.
F563-1,centroid offset,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct centroid offset map-level measurement.
F563-1,lopsidedness,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct lopsidedness map-level measurement.
F563-1,warp / PA twist,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.
F563-V2,A/R mismatch,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.
F563-V2,H I asymmetry,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.
F563-V2,SFE/depletion,rotation_curve_context_only,False,Rad;Vobs;errV;Vgas;Vdisk;Vbul;SBdisk;SBbul,rotation_curve_context_not_target_label,False,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement."
