object_name,taxonomy_stage,m56_hi_structural_score,distance_to_boundary,boundary_role,m51_pseudotime_score,m54_hi_sfr_score,RHI_over_Rdisk,f_star_structural,f_gas_structural,quality_quarantine_flag,claim_boundary
NGC1003,failed_stalled,0.5270038880192786,0.027003888019278555,near_settled_side,0.9098233875851,0.70491169379255,20.701863354037265,0.3036401196751674,0.6963598803248326,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC08550,juvenile_forming,0.5358050861487882,0.03580508614878819,near_settled_side,0.7975786782299702,0.6487893391149852,12.42222222222222,0.2739128786442734,0.7260871213557265,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC05721,juvenile_forming,0.5416334793948062,0.041633479394806217,near_settled_side,0.9095047610213016,0.7047523805106508,17.736842105263158,0.2621031432633075,0.7378968567366925,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC07151,mature_or_control,0.45319451809973216,0.04680548190026784,near_unsettled_side,0.3346896757953144,0.4173448378976571,5.112,0.582272801435797,0.417727198564203,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
NGC4183,mature_or_control,0.44529060328133435,0.05470939671866565,near_unsettled_side,0.351364552237024,0.425682276118512,5.759856630824372,0.5374936272438549,0.46250637275614515,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
NGC5585,juvenile_forming,0.5651564619690329,0.06515646196903291,near_settled_side,0.7089720417579096,0.6044860208789549,7.137254901960784,0.39664248805220637,0.6033575119477936,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
NGC0024,mature_or_control,0.5671080094538752,0.06710800945387518,near_settled_side,0.5500511582606858,0.525025579130343,5.440298507462686,0.6838210987557937,0.3161789012442063,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
F579-V1,mature_or_control,0.5875390360554879,0.08753903605548785,near_settled_side,0.620649655144032,0.5603248275720161,6.2195845697329375,0.6648821248393632,0.3351178751606368,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
ESO116-G012,mature_or_control,0.5917494870147482,0.09174948701474817,near_settled_side,0.6621790652921447,0.5810895326460723,6.344370860927152,0.5983732945942857,0.40162670540571443,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC06917,mature_or_control,0.4029617810769277,0.0970382189230723,near_unsettled_side,0.2211032226347184,0.3605516113173592,4.590579710144928,0.5593956692687735,0.4406043307312264,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
DDO161,failed_stalled,0.398713780353277,0.10128621964672302,near_unsettled_side,0.4893492655250718,0.4946746327625359,8.762295081967213,0.1300587637772103,0.8699412362227896,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC07603,juvenile_forming,0.6126544233387073,0.11265442333870734,near_settled_side,0.855329369600873,0.6776646848004365,8.245283018867925,0.35395564258011075,0.6460443574198894,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC05005,juvenile_forming,0.3811440189583622,0.1188559810416378,near_unsettled_side,0.3207340607600083,0.4103670303800041,6.753125,0.33259297596082865,0.6674070240391714,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
NGC0100,failed_stalled,0.6195316033117225,0.11953160331172252,near_settled_side,0.889973482387162,0.6949867411935811,9.855421686746988,0.37910244680601496,0.620897553193985,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC08490,juvenile_forming,0.6204856921523964,0.12048569215239635,near_settled_side,0.9392507109710704,0.7196253554855352,11.641791044776118,0.34683855125844076,0.6531614487415592,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC06399,mature_or_control,0.3765868047421164,0.12341319525788358,near_unsettled_side,0.1543166850647691,0.3271583425323845,4.292682926829269,0.5615284530575908,0.43847154694240914,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC08286,mature_or_control,0.6358217032844067,0.13582170328440668,near_settled_side,0.8649381226476502,0.6824690613238251,7.685714285714286,0.4235972349732678,0.5764027650267323,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC04325,mature_or_control,0.36231023201072127,0.13768976798927873,near_unsettled_side,0.1178330606459654,0.3089165303229826,3.553763440860215,0.5290535529628043,0.4709464470371957,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC06446,juvenile_forming,0.34193938475134505,0.15806061524865495,near_unsettled_side,0.2907845859520869,0.3953922929760434,6.932885906040268,0.2121929323430996,0.7878070676569003,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
UGC06930,mature_or_control,0.3390688181197577,0.1609311818802423,near_unsettled_side,0.0932537587438715,0.2966268793719357,4.253807106598985,0.5091657821440828,0.49083421785591735,False,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity
