object_name,label_family,source_title,source_year,bibcode,source_doi,source_url,measurement_table,measurement_fields_present,evidence_class,extraction_status,promotion_blocker
UGC07125,A/R mismatch,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,H I asymmetry,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,SFE/depletion,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,Vrot/sigma,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,burstiness,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,centroid offset,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,external morphology,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,lopsidedness,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
UGC07125,warp / PA twist,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
DDO064,A/R mismatch,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,,,,https://ui.adsabs.harvard.edu/search/q=DDO064%20OR%20Z%20152-72,,,bibliography_source_lead_not_measurement,candidate_source_requires_human_or_parser_extraction,source lead lacks extracted same-object label value and measurement/provenance audit
