y_variable,x_variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
A_Q_required,sample_btfr_log10_v_residual,87,0.8791484628736402,0.9003061894000146,3.7143485410150405,1.0038374391994402,0.8791484628736402,0.9003061894000146
A_Q_required,log10_Sigma_gas,87,-0.20568710961834177,-0.2307173580228913,-0.1351091967702598,2.0767693476869056,0.20568710961834177,0.2307173580228913
A_Q_required,RHI_over_Rdisk,87,-0.14707164997150385,-0.21689425938048365,-0.010578228781299394,1.075219860299253,0.14707164997150385,0.21689425938048365
A_Q_required,H_halo,87,-0.1953566566846359,-0.20268657009495059,-1.0970426834788092,2.372804027052315,0.1953566566846359,0.20268657009495059
A_Q_required,r_over_Rdisk_eval,87,-0.14648373329028375,-0.20268657009495059,-0.02071554044242312,1.08907671028603,0.14648373329028375,0.20268657009495059
A_Q_required,log10_M_baryon_Msun,87,-0.1940289432991171,-0.19370124662827146,-0.060981466704490624,1.6206163402053562,0.1940289432991171,0.19370124662827146
A_Q_required,Q_eff,87,-0.11145729633311101,-0.16866240183602185,-0.15403552133102302,1.1938700028430815,0.11145729633311101,0.16866240183602185
A_Q_required,S_internal,87,-0.1247374941721279,-0.12085816805608528,-0.271194326642893,1.2937348228521834,0.1247374941721279,0.12085816805608528
A_Q_required,log10_Sigma_baryon,87,-0.13394592117979898,-0.11804694904133556,-0.07135531351579137,1.6079476530516232,0.13394592117979898,0.11804694904133556
A_Q_required,S_struct,87,-0.06186833083292705,-0.11094691732656732,-0.09439419918986368,1.1075731816840395,0.06186833083292705,0.11094691732656732
A_Q_required,Reff_over_Rdisk,87,-0.0976966429677275,-0.07231902019391995,-0.05795823427414458,1.0864271911549281,0.0976966429677275,0.07231902019391995
A_Q_required,log10_Sigma_star,87,-0.06369951051195426,-0.06925712619377414,-0.024304903295235516,1.2023087582313854,0.06369951051195426,0.06925712619377414
A_Q_required,T,87,0.041809535113183874,0.045566713479893134,0.00419250527834408,0.9794052532670167,0.041809535113183874,0.045566713479893134
A_Q_required,stellar_to_gas_ratio,87,0.10415785363812147,0.04414230516876867,0.0028743745387080854,0.9900885226311443,0.10415785363812147,0.04414230516876867
A_Q_required,log10_stellar_to_gas_ratio,87,0.05843907207471768,0.04414230516876867,0.023361440066114743,0.9985886872566797,0.05843907207471768,0.04414230516876867
A_Q_required,star_frac,87,0.042418645958098085,0.04414230516876867,0.04010900468360232,0.9802895783512997,0.042418645958098085,0.04414230516876867
A_Q_required,gas_frac,87,-0.04241864595809803,-0.04414230516876867,-0.04010900468360017,1.0203985830349012,0.04241864595809803,0.04414230516876867
A_Q_required,S_star_gas,87,0.05867263907021284,0.03375175040797381,0.24554135550450581,0.7521793597071297,0.05867263907021284,0.03375175040797381
