object_name,label_family,priority_rank,priority_bin,target_role,resolver_status,canonical_main_id,ra_deg,dec_deg,route_count,identity_evidence_class,next_source_action
UGC07125,A/R mismatch,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object A/R mismatch measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,H I asymmetry,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object H I asymmetry measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,SFE/depletion,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object SFE/depletion measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,Vrot/sigma,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object Vrot/sigma measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,burstiness,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object burstiness measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,centroid offset,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object centroid offset measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,external morphology,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object external morphology measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,lopsidedness,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object lopsidedness measurements with source provenance; identity routes alone remain non-promoting.
UGC07125,warp / PA twist,1,minimum_25_pool,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,resolved,Z 187-12,182.17297499999995,36.80229722222222,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for UGC07125 (Z 187-12) to extract same-object warp / PA twist measurements with source provenance; identity routes alone remain non-promoting.
DDO064,A/R mismatch,2,minimum_25_pool,primary_non_mature_acquisition,resolved,Z 152-72,147.594869,31.488277,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for DDO064 (Z 152-72) to extract same-object A/R mismatch measurements with source provenance; identity routes alone remain non-promoting.
DDO064,H I asymmetry,2,minimum_25_pool,primary_non_mature_acquisition,resolved,Z 152-72,147.594869,31.488277,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for DDO064 (Z 152-72) to extract same-object H I asymmetry measurements with source provenance; identity routes alone remain non-promoting.
DDO064,SFE/depletion,2,minimum_25_pool,primary_non_mature_acquisition,resolved,Z 152-72,147.594869,31.488277,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for DDO064 (Z 152-72) to extract same-object SFE/depletion measurements with source provenance; identity routes alone remain non-promoting.
DDO064,Vrot/sigma,2,minimum_25_pool,primary_non_mature_acquisition,resolved,Z 152-72,147.594869,31.488277,4,object_identity_only_not_measurement,Use SIMBAD/NED/VizieR/ADS routes for DDO064 (Z 152-72) to extract same-object Vrot/sigma measurements with source provenance; identity routes alone remain non-promoting.
