query_alias,hit_index,source_system,source_id,title,year,venue,doi_or_url,abstract_or_notes,raw_cache_path
SPARC Ref for UGC07125,0,SPARC_main_table_reference,Sw02,"SPARC UGC07125 original H I / rotation-curve source reference: Swaters, R.A. 2002, A&A, 390, 829",2002.0,SPARC_Lelli2016c.mrt reference list,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,"UGC07125 SPARC Ref field is Sw09,Sw02; SPARC labels these as references for HI and Ha data. Treat as original rotation-curve/outer-curve reliability candidate sources, not extracted full text in M31.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt
SPARC Ref for UGC07125,0,SPARC_main_table_reference,Sw09,"SPARC UGC07125 original H I / rotation-curve source reference: Swaters, R.A. 2009, A&A, 493, 871",2009.0,SPARC_Lelli2016c.mrt reference list,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt,"UGC07125 SPARC Ref field is Sw09,Sw02; SPARC labels these as references for HI and Ha data. Treat as original rotation-curve/outer-curve reliability candidate sources, not extracted full text in M31.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/SPARC_Lelli2016c.mrt
SIMBAD bibcode list,0,SIMBAD_bibcode,2006AJ....131.1163S,SIMBAD bibliography entry 2006AJ....131.1163S,2006.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1163S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,1,SIMBAD_bibcode,2020ApJ...902,SIMBAD bibliography entry 2020ApJ...902,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...902/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,2,SIMBAD_bibcode,2020ApJ...902,SIMBAD bibliography entry 2020ApJ...902,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...902/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,3,SIMBAD_bibcode,2020ApJ...902,SIMBAD bibliography entry 2020ApJ...902,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...902/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,4,SIMBAD_bibcode,2006AJ....131.1163S,SIMBAD bibliography entry 2006AJ....131.1163S,2006.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1163S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,5,SIMBAD_bibcode,2006AJ....131.1163S,SIMBAD bibliography entry 2006AJ....131.1163S,2006.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1163S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,6,SIMBAD_bibcode,2006AJ....131.1163S,SIMBAD bibliography entry 2006AJ....131.1163S,2006.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1163S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
SIMBAD bibcode list,7,SIMBAD_bibcode,2009ApJS..182,SIMBAD bibliography entry 2009ApJS..182,2009.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2009ApJS..182/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt
