object_name,formation_state_pred,testability_class,A_activation_pred,mature_settling_drive,reservoir_disorder_suppression,measurement_uncertainty_penalty,label_rationale
NGC5055,settling_transition_candidate,testable_direct,0.6677654841307487,0.5902172155032239,0.3261698817870461,0.2857142857142857,transition or measurement-limited row requiring missing onset labels
NGC3198,settling_transition_candidate,testable_direct,0.5510184562240019,0.4661086949440002,0.35898436309668746,0.2571428571428571,transition or measurement-limited row requiring missing onset labels
NGC4559,mature_bdvr_active_candidate,testable_direct,0.692079973922652,0.6335681876888613,0.35589150929178137,0.22857142857142856,organized baryonic structure dominates available disorder proxies
UGC09133,mature_bdvr_active_candidate,testable_direct,0.7721047391307493,0.6824530788903412,0.2692991071723058,0.22857142857142856,organized baryonic structure dominates available disorder proxies
NGC6946,settling_transition_candidate,testable_direct,0.6521154741286233,0.572718326723251,0.3309036673330144,0.2857142857142857,transition or measurement-limited row requiring missing onset labels
NGC4088,mature_bdvr_active_candidate,testable_direct,0.8135256486260941,0.7534420928812838,0.2450737601506777,0.22857142857142856,organized baryonic structure dominates available disorder proxies
NGC1090,mature_bdvr_active_candidate,testable_direct,0.770361861017028,0.6810399914609333,0.2713798961973448,0.22857142857142856,organized baryonic structure dominates available disorder proxies
NGC5371,mature_bdvr_active_candidate,testable_direct,0.8118449818326108,0.7121735947496123,0.20823762938157714,0.22857142857142856,organized baryonic structure dominates available disorder proxies
NGC0801,mature_bdvr_active_candidate,testable_direct,0.7823684151579351,0.6675210154708097,0.23308468832850582,0.22857142857142856,organized baryonic structure dominates available disorder proxies
DDO161,underactivated_unsettled_candidate,testable_direct,0.32686109815294284,0.45010571195142945,0.5990790377101841,0.22857142857142856,activation surface predicts low formation viability from disorder exceeding settling drive
UGC07125,measurement_limited_activation_unknown,measurement_limited,0.21716692563208492,0.3401392623942687,0.5691731520483576,0.6857142857142857,quarantined failed/stalled boundary object; excluded from clean juvenile and mature velocity-evaluation roles
NGC1003,settling_transition_candidate,testable_direct,0.5376223219674787,0.576934531078517,0.49174765514444363,0.22857142857142856,transition or measurement-limited row requiring missing onset labels
NGC0100,measurement_limited_activation_unknown,measurement_limited,0.4391246405708367,0.4785722478189943,0.4557890634567485,0.45714285714285713,transition or measurement-limited row requiring missing onset labels
UGC12632,underactivated_unsettled_candidate,testable_direct,0.3944166461733851,0.42008133267005265,0.49185657459689247,0.22857142857142856,activation surface predicts low formation viability from disorder exceeding settling drive
UGC01230,measurement_limited_activation_unknown,measurement_limited,0.27834899940967417,0.37198465694022553,0.5429946272190658,0.48571428571428565,transition or measurement-limited row requiring missing onset labels
UGC10310,measurement_limited_activation_unknown,measurement_limited,0.32303532244869565,0.3898250559167054,0.5024949701592613,0.48571428571428565,transition or measurement-limited row requiring missing onset labels
NGC3741,underactivated_unsettled_candidate,testable_direct,0.49453329194240936,0.5792742238466217,0.5847411497491801,0.0,activation surface predicts low formation viability from disorder exceeding settling drive
F583-1,underactivated_unsettled_candidate,testable_direct,0.45058676881105086,0.4482113256014362,0.4977863736700523,0.0,activation surface predicts low formation viability from disorder exceeding settling drive
UGC00731,underactivated_unsettled_candidate,testable_direct,0.41150627493715186,0.41961200730859743,0.5090475060865134,0.0,activation surface predicts low formation viability from disorder exceeding settling drive
UGC08550,measurement_limited_activation_unknown,measurement_limited,0.49618262574692046,0.5316294266860564,0.4470886346980225,0.42857142857142855,transition or measurement-limited row requiring missing onset labels
NGC3109,settling_transition_candidate,testable_direct,0.5104035827991077,0.42497363897309226,0.414568554414601,0.0,transition or measurement-limited row requiring missing onset labels
F563-1,measurement_limited_activation_unknown,measurement_limited,0.2502867269305656,0.32532114138906576,0.5031314387798623,0.6857142857142857,transition or measurement-limited row requiring missing onset labels
UGCA442,settling_transition_candidate,testable_direct,0.5435310768143954,0.4335669057598203,0.38992534012883623,0.0,transition or measurement-limited row requiring missing onset labels
UGC06446,settling_transition_candidate,testable_direct,0.5300677988007713,0.49148472221538897,0.4613805999405531,0.0,transition or measurement-limited row requiring missing onset labels
UGC05721,measurement_limited_activation_unknown,measurement_limited,0.4969611848692015,0.5561194100731675,0.46345233012767534,0.45714285714285713,transition or measurement-limited row requiring missing onset labels
D631-7,mature_bdvr_active_candidate,testable_direct,0.685488473406367,0.4856040751218648,0.29082633562547455,0.0,organized baryonic structure dominates available disorder proxies
DDO064,measurement_limited_activation_unknown,measurement_limited,0.3881940167937394,0.3957201185058998,0.43365701577135823,0.45714285714285713,transition or measurement-limited row requiring missing onset labels
